odoo-1  | 2025-10-01 23:34:18,955 1 INFO ? odoo: Odoo version 17.0-20250725 
odoo-1  | 2025-10-01 23:34:18,955 1 INFO ? odoo: Using configuration file at /etc/odoo/odoo.conf 
odoo-1  | 2025-10-01 23:34:18,956 1 INFO ? odoo: addons paths: ['/usr/lib/python3/dist-packages/odoo/addons', '/var/lib/odoo/addons/17.0', '/mnt/extra-addons'] 
odoo-1  | 2025-10-01 23:34:18,956 1 INFO ? odoo: database: odoo@db:5432 
odoo-1  | 2025-10-01 23:34:19,147 1 INFO ? odoo.addons.base.models.ir_actions_report: Will use the Wkhtmltopdf binary at /usr/local/bin/wkhtmltopdf 
odoo-1  | 2025-10-01 23:34:19,634 1 INFO ? odoo.service.server: HTTP service (werkzeug) running on c6229fe70344:8069 
odoo-1  | 2025-10-01 23:34:21,896 1 INFO ? odoo.modules.loading: loading 1 modules... 
odoo-1  | 2025-10-01 23:34:21,903 1 INFO ? odoo.modules.loading: 1 modules loaded in 0.01s, 0 queries (+0 extra) 
odoo-1  | 2025-10-01 23:34:22,120 1 WARNING ? odoo.modules.module: Missing `license` key in manifest for 'herbario_virtual', defaulting to LGPL-3 
odoo-1  | 2025-10-01 23:34:22,124 1 INFO ? odoo.modules.loading: loading 95 modules... 
odoo-1  | 2025-10-01 23:34:24,550 1 INFO ? odoo.modules.loading: 95 modules loaded in 2.43s, 0 queries (+0 extra) 
odoo-1  | 2025-10-01 23:34:24,818 1 INFO ? odoo.modules.loading: Modules loaded. 
odoo-1  | 2025-10-01 23:34:24,836 1 INFO ? odoo.modules.registry: Registry loaded in 3.084s 
odoo-1  | 2025-10-01 23:34:24,857 1 INFO herbario2 odoo.addons.base.models.ir_http: Generating routing map for key 1 
odoo-1  | 2025-10-01 23:34:25,576 1 WARNING herbario2 odoo.modules.module: Missing `license` key in manifest for 'herbario_virtual', defaulting to LGPL-3 
odoo-1  | 2025-10-01 23:34:27,260 1 INFO herbario2 werkzeug: 172.19.0.1 - - [01/Oct/2025 23:34:27] "GET / HTTP/1.1" 200 - 224 0.771 4.738
odoo-1  | 2025-10-01 23:34:27,355 1 INFO herbario2 werkzeug: 172.19.0.1 - - [01/Oct/2025 23:34:27] "GET / HTTP/1.1" 200 - 20 0.018 0.045
odoo-1  | 2025-10-01 23:34:33,353 1 INFO herbario2 werkzeug: 172.19.0.1 - - [01/Oct/2025 23:34:33] "GET /web HTTP/1.1" 200 - 48 0.057 0.761
odoo-1  | 2025-10-01 23:34:34,373 1 INFO herbario2 werkzeug: 172.19.0.1 - - [01/Oct/2025 23:34:34] "GET /bus/websocket_worker_bundle?v=17.0-1 HTTP/1.1" 304 - 4 0.009 0.028
odoo-1  | 2025-10-01 23:34:34,567 1 INFO herbario2 werkzeug: 172.19.0.1 - - [01/Oct/2025 23:34:34] "GET /web/image?model=res.users&field=avatar_128&id=2 HTTP/1.1" 304 - 16 0.071 0.048
